_id,x,y,fid,perimeter,dams_id,dam_no,dam_name,stream,permittee,zone,northing,easting,north,east,quad_name,type,purpose,dam_height,crest,class,drain_area,storage_no,storage_to,surface_no,surface_to
3004,-80.1103424029999,40.6697979570001,1,0,60,02-071,THORN HILL PARK DETENTION BASIN,TRIBUTARY BRUSH CREEK,MARSHALL TOWNSHIP,17,4502260,575180,8.0500002,2,MARS,EARTH,STORMWATER DETENTION,18,1125,C-2,126,0,29,0,3
3005,-79.9945037429999,40.6684046230001,2,0,78,02-092,SUTULA/STROUD DAM,TRIBUTARY TO BREAKNECK CREEK,JOHN SUTULA/HILARY STROUD,17,4502210,584960,7.8000002,0.75,VALENCIA,EARTH,RECREATION,12.5,450,C-2,0.30000001,10,18,1.5,2
3006,-80.03978438,40.6534068380001,3,0,39,02-040,SARANDRIA DAM,NORTH FORK PINE CREEK,JOSEPH D. SARANDRIA,17,4500510,581160,6.3000002,11.9,MARS,EARTH,,18,210,C-3,0.60000002,18,18,2,0
3007,-80.026447802,40.630076908,4,0,34,02-025,KAPPEL DAM,NORTH FORK PINE CREEK,ROBERT LAWTON,17,4497930,582320,0.89999998,13.7,MARS,EARTH,STORMWATER DETENTION,11,280,C-2,2.4000001,10,15,3,3
3008,-80.04506372,40.6278532090001,5,0,42,02-048,OXFORD DEVELOPMENT CO. DAM,TRIBUTARY N. BRANCH PINE CREEK,OXFORD DEVELOPMENT COMPANY,17,4497660,580740,0.5,10.8,MARS,EARTH,STORMWATER DETENTION,15,300,C-3,0.40000001,1,19,0,0
3009,-79.986445681,40.6250733530001,6,0,40,02-045,SPRING VALLEY LAKE DAM,TRIBUTARY MONTOUR RUN,SPRING VALLEY LAKE-INC.,17,4497410,585710,22.4,1.8,GLENSHAW,EARTH,RECREATION,43,435,B-3,0.1,31,43,3,0
3010,-79.927003395,40.621739124,7,0,64,02-075,ORCHARD PARK MEADOWS RETENTION BAS,TRIBUTARY WEST BR. DEER CREEK,FIFTY-FIVE FIFTY INC,17,4497100,590750,22.1,10.1,GLENSHAW,EARTH,STORMWATER DETENTION,21,140,C-2,0.30000001,0,8,0,1
3011,-80.0181157379999,40.6117440260001,8,0,32,02-023,MARSHALL LAKE,NORTH FORK PINE CREEK,ALLEGHENY CO. DEPT. OF ENG.,17,4495900,583050,20.4,14.6,EMSWORTH,EARTH,,14,0,C-3,7.5999999,9,10,7,0
3012,-80.0833936779999,40.6092403390001,9,0,58,02-068,HUNTINGTON WOODS RETENTION POND,TRIBUTARY PINE CREEK,FRANKLIN PARK BOROUGH,17,4495580,577520,19.9,5.8000002,EMSWORTH,EARTH,STORMWATER DETENTION,20,160,C-2,0.47999999,0,23,0,3
3013,-79.718103862,40.615077152,10,0,74,02-088,ALLEGHENY RIVER LOCK AND DAM 4,ALLEGHENY RIVER,U.S. ARMY COE,17,4496600,608420,20.700001,4.3000002,NEW KENSINGTON EAST,GRAVITY,NAVIGATION,29,954,B-3,0,9000,9000,0,0
